Titre Article;Source;Date;Pays;Journal;Texte Article;Domaine;Isclimate;Prédiction
L’influenceuse Caroline Receveur, atteinte d’un cancer du sein, annonce avoir fini sa chimiothérapie;https://www.ouest-france.fr/culture/people/linfluenceuse-caroline-receveur-atteinte-dun-cancer-du-sein-annonce-avoir-fini-sa-chimiotherapie-4dd87850-6769-11ee-a5bb-3c3a0f3f3a5e?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 15:23:36;France;Ouest France;« J’ai traversé les montagnes russes ». Atteinte d’un cancer du sein, l’influenceuse, ancienne participante des émissions « Secret Story », Caroline Receveur a annoncé avoir fini sa chimiothérapie.;;;FALSE
VIDÉO. Pénurie d'eau à Mayotte : déforestation, infrastructures… Les principales raisons de la crise;https://www.ouest-france.fr/mayotte/video-penurie-d-eau-a-mayotte-deforestation-infrastructures-les-principales-raisons-de-la-crise-1f0a64b9-d2e8-489e-9952-50769829fb12?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 14:26:27;France;Ouest France;Depuis début septembre, les Mahorais sont privés d'eau courante deux jours sur trois. Voici les principales raisons de la pénurie d'eau qui touche Mayotte et ses habitants.;;;FALSE
Niger : le retrait des soldats français a commencé;https://www.ouest-france.fr/monde/niger/niger-les-operations-pour-le-retrait-des-soldats-francais-commenceront-mardi-600a0a4d-5e1e-4946-af78-306fc62a9a7b?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 13:30:04;France;Ouest France;Le retrait des soldats français présents au Niger a commencé mardi 10 octobre. Ce départ a été exigé par le régime militaire arrivé au pouvoir par un coup d’État fin juillet.;;;FALSE
Glyphosate. Un lien reconnu entre malformation et exposition prénatale au pesticide, une première;https://www.ouest-france.fr/environnement/glyphosate/glyphosate-un-lien-reconnu-entre-malformation-et-exposition-prenatale-au-pesticide-une-premiere-64b95a58-672d-11ee-a5bb-3c3a0f3f3a5e?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 08:13:50;France;Ouest France;Le fonds d’indemnisation des victimes de pesticides (FIVP) a établi un lien de causalité entre la malformation congénitale de Théo Grataloup et son exposition à l’herbicide Glyper, lorsqu’il était dans le ventre de sa mère, dans sa période prénatale. C’est une première en France. L’adolescent âgé de 16 ans touchera 36 000 €.;;;FALSE
Météo : des températures maximales « très élevées » pour un mois d’octobre;https://www.ouest-france.fr/meteo/meteo-des-temperatures-maximales-tres-elevees-pour-un-mois-doctobre-52c422c9-72bb-4147-9f96-1ea5f67c3c0c?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 06:35:03;France;Ouest France;Le mercure devrait dépasser à nouveau les 30 degrés ce mardi 10 octobre 2023 localement dans le Sud : Météo-France continue de relever des maximales « très élevées » pour un mois d’octobre.;;;FALSE
Attaques du Hamas contre Israël. Bilan, Français tués, riposte… Ce qu’il faut retenir ce lundi;https://www.ouest-france.fr/monde/israel/attaques-du-hamas-contre-israel-bilan-francais-tues-riposte-ce-quil-faut-retenir-ce-lundi-246093e0-66bf-11ee-9b96-3fdf5fbacb17?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-09 21:51:30;France;Ouest France;Trois jours après les premières frappes du Hamas contre Israël, le bilan humain s’est alourdi de part et d’autre. Les autorités françaises ont annoncé la mort d’un 2e ressortissant français, tandis que 14 autres sont toujours portés disparus. Un « siège complet » de Gaza a été ordonné, et une « attaque massive » a été annoncée par Benyamin Netanyahou. Voici ce qu’il faut retenir de l’actualité liée au conflit entre Israël et le Hamas en ce lundi 9 octobre 2023.;;;FALSE
Prix des carburants : le gazole et le SP95-E10 de nouveau en dessous de 1,90 € début octobre;https://www.ouest-france.fr/economie/transports/carburants-essence-diesel/prix-des-carburants-le-gazole-et-le-sp95-e10-de-nouveau-en-dessous-de-1-90-euros-debut-octobre-ea90f1ac-669e-11ee-9b96-3fdf5fbacb17?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-09 18:38:00;France;Ouest France;Le prix du gazole et de l’essence SP95-E10, les deux carburants les plus vendus en France, a baissé à moins de 1,90 € au niveau national durant la semaine du 2 au 6 octobre, selon le point hebdomadaire du gouvernement ce lundi.;;;FALSE
Attaque du Hamas contre Israël : une vingtaine d’actes antisémites en France depuis 48 heures;https://www.ouest-france.fr/societe/antisemitisme/attaque-du-hamas-contre-israel-une-vingtaine-dactes-antisemites-en-france-depuis-48-heures-bf3f35a2-66af-11ee-9659-698a0c40ce91?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-09 17:34:24;France;Ouest France;Dix personnes ont été interpellées en France depuis samedi 7 octobre en raison d’actes antisémites, a rapporté lundi 9 octobre le ministre de l’Intérieur, Gérald Darmanin.;;;FALSE
Immobilier : les prix d’achat en baisse, le nombre de transactions chute;https://www.ouest-france.fr/economie/immobilier/immobilier-les-prix-dachat-en-baisse-le-nombre-de-transactions-chute-682e29b0-66a7-11ee-9b96-3fdf5fbacb17?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-09 16:40:26;France;Ouest France;De juillet à septembre, le marché de l’immobilier ancien a ralenti avec une chute du nombre de transactions, selon les baromètres des réseaux d’agences. Elle s’explique par des difficultés d’accès au crédit et des prix d’achat globalement en baisse.;;;FALSE
Météo. La pluie fait son retour cette semaine, voici les prévisions des prochains jours;https://www.ouest-france.fr/meteo/meteo-la-pluie-fait-son-retour-cette-semaine-voici-les-previsions-des-prochains-jours-ab83c98e-66a4-11ee-9659-698a0c40ce91?utm_source=fluxpublicfrance&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-09 16:36:32;France;Ouest France;Après des jours estivaux, la pluie va enfin faire son retour en France ce jeudi 12 octobre. En revanche, les températures resteront au-dessus des normales. Voici les prévisions de Météo France.;;;FALSE
Équipe de France de basket. Vincent Collet reconduit à la tête des Bleus après les Jeux olympiques;https://www.ouest-france.fr/sport/basket/equipe-de-france/equipe-de-france-de-basket-vincent-collet-reconduit-a-la-tete-des-bleus-apres-les-jeux-olympiques-e394bd6c-676f-11ee-a5bb-3c3a0f3f3a5e?utm_source=fluxpublicsports&utm_medium=fluxrss&utm_campaign=banquedecontenu;2023-10-10 15:31:22;France;Ouest France;Vincent Collet a été reconduit à la tête de l’équipe de France de basket ce mardi par Jean-Pierre Siutat, le président de la Fédération française de basket.;;;FALSE
